,playerID,nameFirst,nameLast,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,BA,TOTB,SLG,OBP,OPS,RBI/AB,HR/G,R/G,BABIP,Cluster,Total
20598,brocklo01,Lou,Brock,1972,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,10
41167,bryankr01,Kris,Bryant,2015,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,2,10
36480,youngmi02,Michael,Young,2011,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,10
35560,leeca01,Carlos,Lee,2006,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,10
22658,tolanbo01,Bobby,Tolan,1969,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,10
23835,burroje01,Jeff,Burroughs,1978,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,2,10
23040,hislela01,Larry,Hisle,1977,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,2,10
30513,willima04,Matt,Williams,1990,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,10
11466,gosligo01,Goose,Goslin,1936,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
30512,willima03,Matt,Williams,1990,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,10
12950,dickebi01,Bill,Dickey,1939,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,2,10
28877,cartejo01,Joe,Carter,1989,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,10
41537,bellico01,Cody,Bellinger,2017,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
23041,hislela01,Larry,Hisle,1978,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
9976,pippwa01,Wally,Pipp,1917,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,10
12294,hermaba01,Babe,Herman,1931,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,10
40861,rendoan01,Anthony,Rendon,2018,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,2,10
23610,maybejo02,John,Mayberry,1973,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,2,10
19401,aloufe01,Felipe,Alou,1968,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,10
26255,thompja01,Jason,Thompson,1978,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,2,10
20599,brocklo01,Lou,Brock,1973,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,10
19419,cepedor01,Orlando,Cepeda,1964,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,2,10
20521,yastrca01,Carl,Yastrzemski,1977,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
9256,griffto01,Tommy,Griffith,1915,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,10
22868,rudijo01,Joe,Rudi,1974,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,10
12270,gehrich01,Charlie,Gehringer,1932,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,10
1871,gleasja01,Jack,Gleason,1884,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,2,10
11437,fothebo01,Bob,Fothergill,1927,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,2,10
35884,guillca01,Carlos,Guillen,2006,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,2,10
1123,willine01,Ned,Williamson,1884,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,2,10
1271,gorege01,George,Gore,1890,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,2,10
12271,gehrich01,Charlie,Gehringer,1933,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,10
23651,mcraeha01,Hal,McRae,1977,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,10
11457,gosligo01,Goose,Goslin,1927,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,10
30068,burksel01,Ellis,Burks,1990,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,10
23609,maybejo01,John,Mayberry,1973,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,2,10
34527,garcino01,Nomar,Garciaparra,2003,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,10
36110,dunnad01,Adam,Dunn,2009,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,2,10
1018,kellyki01,King,Kelly,1882,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,10
1023,kellyki01,King,Kelly,1887,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,2,10
25958,roberle01,Leon,Roberts,1978,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,2,10
28798,strawda01,Darryl,Strawberry,1990,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
12027,bellle01,Les,Bell,1926,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,2,10
9249,fournja01,Jack,Fournier,1923,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,2,10
30619,biggicr01,Craig,Biggio,1995,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,10
19826,mccovwi01,Willie,McCovey,1967,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,2,10
28799,strawda01,Darryl,Strawberry,1991,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
18318,smithal02,Al,Smith,1955,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,10
